Date,Event,Type,Symbol
2024-07-31,Meta Q2 2024 Earnings,Earnings,META
2024-08-01,Apple Q3 2024 Earnings,Earnings,AAPL
2024-08-01,Amazon Q2 2024 Earnings,Earnings,AMZN
2024-10-29,Microsoft Q1 2025 Earnings,Earnings,MSFT
2024-10-29,Alphabet Q3 2024 Earnings,Earnings,GOOGL
2024-10-30,Meta Q3 2024 Earnings,Earnings,META
2024-10-31,Apple Q4 2024 Earnings,Earnings,AAPL
2024-10-31,Amazon Q3 2024 Earnings,Earnings,AMZN
2025-01-28,Microsoft Q2 2025 Earnings,Earnings,MSFT
2025-01-28,Alphabet Q4 2024 Earnings,Earnings,GOOGL
2025-01-29,Meta Q4 2024 Earnings,Earnings,META
2025-01-30,Apple Q1 2025 Earnings,Earnings,AAPL
2025-01-30,Amazon Q4 2024 Earnings,Earnings,AMZN
