Date,Event,Type,Country
2020-06-05,Nonfarm Payrolls,NFP,US
2020-06-10,CPI,CPI,US
2020-06-10,FOMC Decision,FOMC,US
2020-06-25,GDP Final,GDP,US
2020-07-02,Nonfarm Payrolls,NFP,US
2020-07-14,CPI,CPI,US
2020-07-29,FOMC Decision,FOMC,US
2020-07-30,GDP Advance,GDP,US
2020-08-07,Nonfarm Payrolls,NFP,US
2020-08-12,CPI,CPI,US
2020-09-04,Nonfarm Payrolls,NFP,US
2020-09-11,CPI,CPI,US
2020-09-16,FOMC Decision,FOMC,US
2020-09-30,GDP Final,GDP,US
2020-10-02,Nonfarm Payrolls,NFP,US
2020-10-13,CPI,CPI,US
2020-10-29,GDP Advance,GDP,US
2020-11-05,FOMC Decision,FOMC,US
2020-11-06,Nonfarm Payrolls,NFP,US
2020-11-12,CPI,CPI,US
2020-12-04,Nonfarm Payrolls,NFP,US
2020-12-10,CPI,CPI,US
2020-12-16,FOMC Decision,FOMC,US
2020-12-22,GDP Final,GDP,US
2021-01-08,Nonfarm Payrolls,NFP,US
2021-01-13,CPI,CPI,US
2021-01-27,FOMC Decision,FOMC,US
2021-01-28,GDP Advance,GDP,US
2021-02-05,Nonfarm Payrolls,NFP,US
2021-02-10,CPI,CPI,US
2021-02-25,GDP Final,GDP,US
2021-03-05,Nonfarm Payrolls,NFP,US
2021-03-10,CPI,CPI,US
2021-03-17,FOMC Decision,FOMC,US
2021-04-02,Nonfarm Payrolls,NFP,US
2021-04-13,CPI,CPI,US
2021-04-28,FOMC Decision,FOMC,US
2021-04-29,GDP Advance,GDP,US
2021-05-07,Nonfarm Payrolls,NFP,US
2021-05-12,CPI,CPI,US
2021-06-04,Nonfarm Payrolls,NFP,US
2021-06-10,CPI,CPI,US
2021-06-16,FOMC Decision,FOMC,US
2021-06-24,GDP Final,GDP,US
2021-07-02,Nonfarm Payrolls,NFP,US
2021-07-13,CPI,CPI,US
2021-07-28,FOMC Decision,FOMC,US
2021-07-29,GDP Advance,GDP,US
2021-08-06,Nonfarm Payrolls,NFP,US
2021-08-11,CPI,CPI,US
2021-09-03,Nonfarm Payrolls,NFP,US
2021-09-14,CPI,CPI,US
2021-09-22,FOMC Decision,FOMC,US
2021-09-30,GDP Final,GDP,US
2021-10-08,Nonfarm Payrolls,NFP,US
2021-10-13,CPI,CPI,US
2021-10-28,GDP Advance,GDP,US
2021-11-03,FOMC Decision,FOMC,US
2021-11-05,Nonfarm Payrolls,NFP,US
2021-11-10,CPI,CPI,US
2021-12-03,Nonfarm Payrolls,NFP,US
2021-12-10,CPI,CPI,US
2021-12-15,FOMC Decision,FOMC,US
2021-12-22,GDP Final,GDP,US
2022-01-07,Nonfarm Payrolls,NFP,US
2022-01-12,CPI,CPI,US
2022-01-26,FOMC Decision,FOMC,US
2022-01-27,GDP Advance,GDP,US
2022-02-04,Nonfarm Payrolls,NFP,US
2022-02-10,CPI,CPI,US
2022-02-24,GDP Final,GDP,US
2022-03-04,Nonfarm Payrolls,NFP,US
2022-03-10,CPI,CPI,US
2022-03-16,FOMC Decision,FOMC,US
2022-04-01,Nonfarm Payrolls,NFP,US
2022-04-12,CPI,CPI,US
2022-04-28,GDP Advance,GDP,US
2022-05-04,FOMC Decision,FOMC,US
2022-05-06,Nonfarm Payrolls,NFP,US
2022-05-11,CPI,CPI,US
2022-06-03,Nonfarm Payrolls,NFP,US
2022-06-10,CPI,CPI,US
2022-06-15,FOMC Decision,FOMC,US
2022-06-29,GDP Final,GDP,US
2022-07-08,Nonfarm Payrolls,NFP,US
2022-07-13,CPI,CPI,US
2022-07-27,FOMC Decision,FOMC,US
2022-07-28,GDP Advance,GDP,US
2022-08-05,Nonfarm Payrolls,NFP,US
2022-08-10,CPI,CPI,US
2022-09-02,Nonfarm Payrolls,NFP,US
2022-09-13,CPI,CPI,US
2022-09-21,FOMC Decision,FOMC,US
2022-09-29,GDP Final,GDP,US
2022-10-07,Nonfarm Payrolls,NFP,US
2022-10-13,CPI,CPI,US
2022-10-27,GDP Advance,GDP,US
2022-11-02,FOMC Decision,FOMC,US
2022-11-04,Nonfarm Payrolls,NFP,US
2022-11-10,CPI,CPI,US
2022-12-02,Nonfarm Payrolls,NFP,US
2022-12-13,CPI,CPI,US
2022-12-14,FOMC Decision,FOMC,US
2022-12-22,GDP Final,GDP,US
2023-01-06,Nonfarm Payrolls,NFP,US
2023-01-12,CPI,CPI,US
2023-01-26,GDP Advance,GDP,US
2023-02-01,FOMC Decision,FOMC,US
2023-02-03,Nonfarm Payrolls,NFP,US
2023-02-14,CPI,CPI,US
2023-02-23,GDP Final,GDP,US
2023-03-10,Nonfarm Payrolls,NFP,US
2023-03-14,CPI,CPI,US
2023-03-22,FOMC Decision,FOMC,US
2023-04-07,Nonfarm Payrolls,NFP,US
2023-04-12,CPI,CPI,US
2023-04-27,GDP Advance,GDP,US
2023-05-03,FOMC Decision,FOMC,US
2023-05-05,Nonfarm Payrolls,NFP,US
2023-05-10,CPI,CPI,US
2023-06-02,Nonfarm Payrolls,NFP,US
2023-06-13,CPI,CPI,US
2023-06-14,FOMC Decision,FOMC,US
2023-06-29,GDP Final,GDP,US
2023-07-07,Nonfarm Payrolls,NFP,US
2023-07-12,CPI,CPI,US
2023-07-26,FOMC Decision,FOMC,US
2023-07-27,GDP Advance,GDP,US
2023-08-04,Nonfarm Payrolls,NFP,US
2023-08-10,CPI,CPI,US
2023-09-01,Nonfarm Payrolls,NFP,US
2023-09-13,CPI,CPI,US
2023-09-20,FOMC Decision,FOMC,US
2023-09-28,GDP Final,GDP,US
2023-10-06,Nonfarm Payrolls,NFP,US
2023-10-12,CPI,CPI,US
2023-10-26,GDP Advance,GDP,US
2023-11-01,FOMC Decision,FOMC,US
2023-11-03,Nonfarm Payrolls,NFP,US
2023-11-14,CPI,CPI,US
2023-12-08,Nonfarm Payrolls,NFP,US
2023-12-12,CPI,CPI,US
2023-12-13,FOMC Decision,FOMC,US
2023-12-21,GDP Final,GDP,US
2024-01-05,Nonfarm Payrolls,NFP,US
2024-01-11,CPI,CPI,US
2024-01-25,GDP Advance,GDP,US
2024-01-31,FOMC Decision,FOMC,US
2024-02-02,Nonfarm Payrolls,NFP,US
2024-02-13,CPI,CPI,US
2024-02-28,GDP Final,GDP,US
2024-03-08,Nonfarm Payrolls,NFP,US
2024-03-12,CPI,CPI,US
2024-03-20,FOMC Decision,FOMC,US
2024-04-05,Nonfarm Payrolls,NFP,US
2024-04-10,CPI,CPI,US
2024-04-25,GDP Advance,GDP,US
2024-05-01,FOMC Decision,FOMC,US
2024-05-03,Nonfarm Payrolls,NFP,US
2024-05-15,CPI,CPI,US
2024-06-07,Nonfarm Payrolls,NFP,US
2024-06-12,CPI,CPI,US
2024-06-12,FOMC Decision,FOMC,US
2024-06-27,GDP Final,GDP,US
2024-07-05,Nonfarm Payrolls,NFP,US
2024-07-11,CPI,CPI,US
2024-07-25,GDP Advance,GDP,US
2024-07-31,FOMC Decision,FOMC,US
2024-08-02,Nonfarm Payrolls,NFP,US
2024-08-14,CPI,CPI,US
2024-09-06,Nonfarm Payrolls,NFP,US
2024-09-11,CPI,CPI,US
2024-09-18,FOMC Decision,FOMC,US
2024-09-26,GDP Final,GDP,US
2024-10-04,Nonfarm Payrolls,NFP,US
2024-10-10,CPI,CPI,US
2024-10-30,GDP Advance,GDP,US
2024-11-01,Nonfarm Payrolls,NFP,US
2024-11-07,FOMC Decision,FOMC,US
2024-11-13,CPI,CPI,US
2024-12-06,Nonfarm Payrolls,NFP,US
2024-12-11,CPI,CPI,US
2024-12-18,FOMC Decision,FOMC,US
2024-12-19,GDP Final,GDP,US
2025-01-10,Nonfarm Payrolls,NFP,US
2025-01-15,CPI,CPI,US
2025-01-29,FOMC Decision,FOMC,US
2025-01-30,GDP Advance,GDP,US
2025-02-07,Nonfarm Payrolls,NFP,US
2025-02-12,CPI,CPI,US
2025-02-27,GDP Final,GDP,US
2025-03-07,Nonfarm Payrolls,NFP,US
2025-03-12,CPI,CPI,US
2025-03-19,FOMC Decision,FOMC,US
2025-04-04,Nonfarm Payrolls,NFP,US
2025-04-10,CPI,CPI,US
2025-04-30,GDP Advance,GDP,US
2025-05-02,Nonfarm Payrolls,NFP,US
2025-05-07,FOMC Decision,FOMC,US
2025-05-13,CPI,CPI,US
2025-06-06,Nonfarm Payrolls,NFP,US
2025-06-11,CPI,CPI,US
2025-06-18,FOMC Decision,FOMC,US
2025-06-26,GDP Final,GDP,US
2025-07-03,Nonfarm Payrolls,NFP,US
2025-07-10,CPI,CPI,US
2025-07-30,FOMC Decision,FOMC,US
2025-07-31,GDP Advance,GDP,US
2025-08-01,Nonfarm Payrolls,NFP,US
2025-08-13,CPI,CPI,US
2025-09-05,Nonfarm Payrolls,NFP,US
2025-09-10,CPI,CPI,US
2025-09-17,FOMC Decision,FOMC,US
2025-09-25,GDP Final,GDP,US
2025-10-03,Nonfarm Payrolls,NFP,US
2025-10-14,CPI,CPI,US
2025-10-30,GDP Advance,GDP,US
2025-11-05,FOMC Decision,FOMC,US
2025-11-07,Nonfarm Payrolls,NFP,US
2025-11-12,CPI,CPI,US
2025-12-05,Nonfarm Payrolls,NFP,US
2025-12-10,CPI,CPI,US
2025-12-17,FOMC Decision,FOMC,US
2025-12-23,GDP Final,GDP,US
2026-01-09,Nonfarm Payrolls,NFP,US
2026-01-14,CPI,CPI,US
2026-01-28,FOMC Decision,FOMC,US
2026-01-29,GDP Advance,GDP,US
